Game 0, Avg Cost: 0.011, Last cost: 0.011, Turns: 298, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  14, Val: -0.1026, lr_factor: 0.667
Game 1, Avg Cost: 0.545, Last cost: 0.545, Turns: 351, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val:  0.7380, lr_factor: 0.500
Game 2, Avg Cost: 0.924, Last cost: 0.924, Turns: 128, Randomness: 1.00, lr: 8.000e5, Win:  1, Sum:  10, Val:  0.0387, lr_factor: 0.800
Game 3, Avg Cost: 0.035, Last cost: 0.035, Turns: 409, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -16, Val:  0.1871, lr_factor: 0.500
Game 4, Avg Cost: 0.585, Last cost: 0.585, Turns: 429, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -8, Val:  0.7651, lr_factor: 0.429
Game 5, Avg Cost: 0.301, Last cost: 0.301, Turns: 366, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val:  0.5487, lr_factor: 0.375
Game 6, Avg Cost: 0.285, Last cost: 0.285, Turns: 320, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val:  0.5341, lr_factor: 0.333
Game 7, Avg Cost: 0.352, Last cost: 0.352, Turns: 346, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -3, Val:  0.5936, lr_factor: 0.300
Game 8, Avg Cost: 0.073, Last cost: 0.073, Turns: 278, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -2, Val: -0.2699, lr_factor: 0.273
Game 9, Avg Cost: 0.013, Last cost: 0.013, Turns: 267, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -13, Val:  0.1147, lr_factor: 0.250
Game 10, Avg Cost: 1.272, Last cost: 1.272, Turns: 146, Randomness: 1.00, lr: 8.000e5, Win:  1, Sum:  23, Val: -0.1278, lr_factor: 0.846
Game 11, Avg Cost: 0.009, Last cost: 0.009, Turns: 364, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val: -0.0941, lr_factor: 0.286
Game 12, Avg Cost: 0.307, Last cost: 0.307, Turns: 405, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -2, Val:  0.5544, lr_factor: 0.267
Game 13, Avg Cost: 0.252, Last cost: 0.252, Turns: 371, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val:  0.5022, lr_factor: 0.250
Game 14, Avg Cost: 1.183, Last cost: 1.183, Turns: 115, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum: -20, Val:  0.0877, lr_factor: 0.941
Game 15, Avg Cost: 0.107, Last cost: 0.107, Turns: 402, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -4, Val:  0.3266, lr_factor: 0.278
Game 16, Avg Cost: 0.217, Last cost: 0.217, Turns: 303, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.4654, lr_factor: 0.263
Game 17, Avg Cost: 0.072, Last cost: 0.072, Turns: 375, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val: -0.2678, lr_factor: 0.250
Game 18, Avg Cost: 0.005, Last cost: 0.005, Turns: 386, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val: -0.0718, lr_factor: 0.238
Game 19, Avg Cost: 0.107, Last cost: 0.107, Turns: 257, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -3, Val:  0.3266, lr_factor: 0.227
Game 0, Avg Cost: 0.111, Last cost: 0.111, Turns: 321, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.3326, lr_factor: 0.667
Game 1, Avg Cost: 0.000, Last cost: 0.000, Turns: 370, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  10, Val:  0.0077, lr_factor: 0.500
Game 2, Avg Cost: 0.029, Last cost: 0.029, Turns: 285, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -4, Val: -0.1698, lr_factor: 0.400
Game 3, Avg Cost: 0.037, Last cost: 0.037, Turns: 359, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val: -0.1922, lr_factor: 0.333
Game 4, Avg Cost: 0.179, Last cost: 0.179, Turns: 339, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -10, Val:  0.4235, lr_factor: 0.286
Game 5, Avg Cost: 0.332, Last cost: 0.332, Turns: 386, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val:  0.5760, lr_factor: 0.250
Game 6, Avg Cost: 0.298, Last cost: 0.298, Turns: 381, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -4, Val:  0.5460, lr_factor: 0.222
Game 7, Avg Cost: 0.079, Last cost: 0.079, Turns: 225, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  11, Val:  0.2820, lr_factor: 0.200
Game 8, Avg Cost: 0.068, Last cost: 0.068, Turns: 302, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val: -0.2610, lr_factor: 0.182
Game 9, Avg Cost: 0.230, Last cost: 0.230, Turns: 371, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   2, Val: -0.4794, lr_factor: 0.167
Game 10, Avg Cost: 0.037, Last cost: 0.037, Turns: 410, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val: -0.1920, lr_factor: 0.154
Game 11, Avg Cost: 0.024, Last cost: 0.024, Turns: 310, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.1536, lr_factor: 0.143
